"Time","","2016","2017","2018","2019","2020","2021","2022"
"Pacific Island Countries and territories","Urbanization","","","","","","",""
"Indicator: 6.1.1 Population using an improved drinking water source","","","","","","","",""
"Micronesia","","","","","","","",""
"    Kiribati","National","0","0","82.3","0","0","0","0"
"    Kiribati","Urban","0","0","96.5","0","0","0","0"
"    Kiribati","Rural","0","0","65.8","0","0","0","0"
"Polynesia","","","","","","","",""
"   Cook Islands","National","99.9","0","0","0","0","0","0"
"  Cook Islands","Urban","100","0","0","0","0","0","0"
"  Cook Islands","Rural","99.9","0","0","0","0","0","0"
"  Niue","National","96.3","0","0","0","0","0","0"
"  Tonga","National","91.7","0","0","0","0","0","0"
"  Tuvalu","National","99.9","0","0","0","0","0","0"
