"Time","","2016","2017","2018","2019","2020","2021","2022"
"Pacific Island Countries and territories","Urbanization","","","","","","",""
"Indicator: 6.3.1 Proportion of wastewater safely treated","","","","","","","",""
"Micronesia","","","","","","","",""
"·  Kiribati","National","0","0","0","0","30.8","0","0"
"Polynesia","","","","","","","",""
"·  American Samoa","National","0","0","0","0","69","0","0"
"·  Samoa","National","0","6.6","0","0","46.7","0","0"
"·  Tonga","National","0","0","0","0","28.6","0","0"
"·  Tuvalu","National","0","0","0","0","2","0","0"
