"Time","","2016","2017","2018","2019","2020","2021","2022"
"Pacific Island Countries and territories","Urbanization","","","","","","",""
"Indicator: 6.2.1 Population practicing open defecation","","","","","","","",""
"Melanesia","","","","","","","",""
"·  Fiji","National","0.15","0.13","0.11","0.08","0","0","0"
"·  Fiji","Urban","0.06","0.05","0.05","0.05","0","0","0"
"·  Fiji","Rural","0.27","0.22","0.18","0.13","0","0","0"
"·  Papua New Guinea","National","15.33","15.53","15.73","15.93","16.13","16.12","16.1"
"·  Papua New Guinea","Urban","4","4.01","4.03","4.04","4.05","4.05","4.05"
"·  Papua New Guinea","Rural","17.03","17.27","17.51","17.75","17.99","17.99","17.99"
"·  Solomon Islands","National","46.64","45.53","45.29","45.04","44.79","44.55",""
"·  Solomon Islands","Urban","4.73","4.36","4.36","4.36","4.36","4.36",""
"·  Solomon Islands","Rural","59.04","58.03","58.03","58.03","58.03","58.03",""
"·  Vanuatu","National","0.58","0.44","0.3","0.16","0.06","0.06","0.06"
"·  Vanuatu","Urban","0.28","0.27","0.26","0.25","0.24","0.23","0.22"
"·  Vanuatu","Rural","0.68","0.5","0.32","0.13","0","0","0"
"Micronesia","","","","","","","",""
"·  Kiribati","National","35.62","35.13","34.64","34.16","33.68","33.22","32.75"
"·  Kiribati","Urban","23.18","22.93","22.68","22.43","22.19","21.94","21.69"
"·  Kiribati","Rural","49.35","49.03","48.71","48.4","48.08","47.76","47.45"
"·  Marshall Islands","National","9.53","9.37","9.21","9.07","8.93","8.8","8.68"
"·  Marshall Islands","Urban","4.41","4.55","4.69","4.83","4.97","5.11","5.25"
"·  Marshall Islands","Rural","25.97","25.18","24.38","23.59","22.8","22.01","21.22"
"·  Nauru","National","2.5","2.59","2.59","2.59","2.59","2.59","0"
"·  Nauru","Urban","2.5","2.59","2.59","2.59","2.59","2.59","0"
"·  Palau","National","0","0","0","0","0","0","0"
"·  Palau","Urban","0","0","0","0","0","0","0"
"·  Palau","Rural","0","0","0","0","0","0","0"
"Polynesia","","","","","","","",""
"·  Cook Islands","National","0.48","0.48","0.48","0.48","0.48","0.48","0.48"
"·  Niue","National","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"·  Samoa","National","0.1","0.11","0.11","0.11","0.12","0.12","0.13"
"·  Samoa","Urban","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"·  Samoa","Rural","0.12","0.13","0.13","0.14","0.14","0.15","0.15"
"·  Tonga","National","0.12","0.12","0.11","0.11","0.1","0.1","0.09"
"·  Tonga","Urban","0.08","0.08","0.09","0.09","0.09","0.09","0.09"
"·  Tonga","Rural","0.13","0.13","0.12","0.11","0.11","0.1","0.09"
"·  Tuvalu","National","4.27","3.98","3.7","3.42","3.15","2.88","2.62"
"·  Tuvalu","Urban","3.04","2.89","2.73","2.58","2.42","2.26","2.11"
"·  Tuvalu","Rural","6.15","5.72","5.3","4.88","4.45","4.03","3.6"
